736,avenue du marechal de lattre de tassigny,sans
732,rue rené magne,sans
727,cours de la martinique,sans
723,rue du professeur jeanneney,sans
722,rue saint catherine,sans
722,rue lucien faure et sente des carrelets,sans
720,rue de l ecole normale,sans
720,rue jean-gabriel domergue,sans
719,rue saint genès,sans
719,rue jean fleuret,sans
710,rue de la benauge,sans
710,rue casteja,avec
704,rue lucien faure et rue bourbon,sans
702,place amelie raba leon,avec
694,rue abbe de l'epee,sans
694,rue saint rémi / place de la bourse,sans
692,rue baour,sans
681,rue de cursol,sans
680,rue de son tay,sans
680,rue des douves/place andre meunier,sans
680,rues domion et stehelin,sans
679,rue fernand cazeres,sans
679,place des grands hommes,sans
679,cours du quebec,sans
676,quai louis xviii ( face jean jaures ).,sans
676,39 rue porte dijeaux,sans
675,rue jean dupas,sans
671,bd jean jacques bosc,sans
662,bassin a flots n° 1 quai armand lalande,sans
659,rue lucien faure et rue de la faiencerie,sans
658,quai richelieu,sans
652,176 rue jules ferry,sans
647,rue edouard faure,sans
646,"42 rue lalande, rue magendie",sans
646,rue vauban,sans
636,rue segalier,sans
636,allée eugène delacroix,sans
635,rue raze,sans
628,rue lagrange,sans
627,place du marché des chartrons,sans
627,cours portal,sans
626,quai lawton,sans
626,rue saint nicolas,sans
625,rue lafaurie de monbadon,sans
623,"quai de brienne, bd jean-jacques bosc et rue de louisiane",sans
622,rue camille sauvageau,sans
619,rue des bahutiers,sans
618,rue saint james,sans
610,rue edmond besse,sans
609,rue delbos et rue ouagadougou,sans
606,ilôt ed1 zac garonne eiffel,sans
604,rue walter poupot,sans
600,rue de budos,sans
595,rue fondaudège,sans
593,quai du maroc,sans
592,hangar 15,sans
589,rue leon blum,sans
589,cours alsace lorraine,sans
587,rue maitre jean,sans
586,rue huguerie,sans
585,quai du maroc et 1 place des millesimes,sans
584,rue ferbos,sans
584,"quai armand lalande, 9,11,13 rue lucien faure",sans
583,impasse du docteur jean vincent,sans
582,31 rue paul courteault,sans
582,cours de la somme et 3 rue p antin,sans
577,allees de boutaut,sans
573,rue hortense,sans
573,36 avenue du docteur schinazi,sans
572,rue de cheverus,sans
569,rue de la vieille tour,sans
568,rue david johnston,sans
567,rue des palanques,sans
567,quai des caps,sans
566,quai de paludate lieu-dit  ilot b,sans
560,place bardineau,sans
560,153 rue du tondu,sans
559,rue emile combes,sans
556,rue mandron,sans
550,place du parlement,sans
550,rue stehelin/angle rue chanoine a. lacaze,sans
548,avenue bel air,sans
548,rue paul louis lande,sans
548,rue du petit miot,sans
546,rue des menuts,sans
546,avenue marcel dassault,sans
545,rue voltaire,sans
545,"quai de bienne, rue de l'orenoque et rue de louisiane",sans
545,"rue flornoy, 228 rue berruer",sans
544,angle rue beck et place d'armagnac,sans
544,rue montesquieu,sans
540,allée deschamps,sans
540,rue buhan,sans
535,niveau 2,sans
533,rue des remparts,sans
533,rue du professeur darget,sans
533,"rue furtado, 64 rue malbec",sans
532,place amélie raba léon,avec
531,rue du tri postal ilot 8.2 d-e,sans
528,rue du professeur georges jeanneney,sans
527,rue gouffrand,sans
527,rue d'armagnac - zac saint jean belcier,sans
526,"ilot angle allée serr, rue louis eymie,",sans
524,rue du chanoine andre lacaze,sans
524,rue magendie,sans
523,rue dumont d'urville,sans
520,quai de la douane,sans
520,rue bobillot,sans
518,avenue du parc de lescure,sans
517,quai de brienne et rue de la louisiane,sans
512,avenue des trois cardinaux,sans
512,rue du docteur albert barraud,sans
510,rue saint rémi,sans
510,24 rue albert thomas,sans
500,rue docteur jean vincent,sans
500,rue antoine jourde,sans
500,avenue jean-gabriel domergue,sans
500,avenue thiers/rue du cypressat,sans
499,avenue de pernon,sans
496,-376  avenue thiers,sans
493,face au 60 quai des chartrons,sans
489,square des commandos de france,sans
488,rue rolland,sans
484,38 quai de paludate,sans
484,rue du loup,sans
483,rue chantecrit,sans
483,rue casteja-46 rue thiac,sans
482,rue albert thomas,sans
481,avenue general de larminat,sans
478,place alice girou,sans
478,rue du jonc,sans
476,185 boulevard marechal leclerc,sans
475,place de l'église saint augustin,sans
472,rue ravez,sans
472,place saint projet,sans
470,rue guyart,sans
470,rue casteja,sans
467,rue achard angle rue de ouagadougou,sans
463,place ferdinand buisson,sans
461,hangar 17,sans
461,rue de marseille - impasse ducaule,sans
460,quai de la monnaie,sans
460,avenue louis barthou,sans
457,avenue carnot,sans
454,place saint martial,sans
453,rue de la bechade,avec
450,"rue de saint genes,93 bis rue de segur",avec
450,rue brun,sans
450,rue roger touton,sans
449,place francis de pressense,sans
449,place de la comédie,sans
449,rue camille godard,sans
448,rue des faussets,sans
445,rue jude,sans
444,esplanade linne,sans
443,boulevard joliot curie,sans
442,avenue raymond poincare,sans
440,rue du professeur devaux,sans
440,rue de la devise,sans
440,rue des beaux arts,sans
436,place du colonel raynal 70 rue  chateau d'eau -,sans
435,quai des salinieres,sans
435,hangar 19 - lot 7 - quai de bacalan,sans
434,rue xavier arsène henry,sans
433,avenue emile counord ilot portmann,sans
432,loge n°164,sans
430,cours de l'argonne,avec
422,rue de la pelouse de douet,avec
422,rue des argentiers,sans
422,cours d'alsace et lorraine,sans
422,rue ausone,sans
422,avenue abadie,sans
418,"niveaux 14,50 et 19,50",sans
418,"rue des ayres , 3 rue paul bert",sans
414,rue delbos,sans
412,place de la république,sans
410,rue stehelin,sans
410,cours  pasteur,sans
407,rue  de nuits et de chateauneuf,sans
405,rue gustave carde,sans
402,"rue belleville, angle rue lecocq",sans
400,rue du ha-32 rue du cdt arnould,sans
400,zac les berges du lac ginko ii  6 ilot c1.1a,sans
400,rue de la pelouse de douet,sans
399,rue permentade,sans
399,rue eugène le roy,avec
395,boulevard pierre 1er,sans
390,rue des douves et 2  rue du noviciat,sans
389,rue elie gintrac,sans
388,due de la béchade,sans
385,rue frantz despagnet,sans
385,rue sainte colombe,sans
382,rue judaïque,sans
382,rue vital carles,sans
380,"hangar 17 - lots 3, 4 et 5",sans
380,allees d'orleans,sans
379,avenue de la jallere,sans
376,place victor raulin / 2 bis rue achard,sans
375,place des chartrons,sans
375,7 cours barbey,sans
373,rue du mulet,sans
372,rue buchou,sans
370,rue robert schuman,sans
367,place eugène gauthier et 21 rue domion,sans
364,rue de la louisiane - 3 rue des laurentides,sans
362,"bd alienor d'aquitaine, rue etienne ginestous",sans
360,angle rue de la bechade/rue quintin,sans
358,rue charles martin/rue blanqui,sans
358,rue de conde,sans
358,"rue toulouse-lautrec, 3 rue villeneuve",sans
358,rue francois leveque,sans
357,294 cours de la somme,sans
357,rue du marechal joffre,sans
354,rue de gironde,sans
354,place jean moulin,sans
353,78 rue de tauzia,sans
350,sente canis,sans
350,allées tourny,sans
350,place andre meunier,sans
349,place paul doumer,sans
348,rue de la porte dijeaux,sans
346,77 rue porte dijeaux,sans
346,quai louis xviii,sans
346,rue du tondu,sans
345,rue paul bert,sans
345,rue jardel,sans
344,rue claude bonnier,sans
342,avenue du docteur schinazi,sans
340,rue du ha,sans
337,avenue du general leclerc,sans
336,rue du temple,sans
336,avenue d'arés,sans
334,rue franklin,sans
334,rue du docteur charles nancel penard,sans
333,rue nuyens,sans
332,allée d'orléans,sans
330,75 rue lachassaigne,sans
