avec_hebergement;nom_etablissement;propriete_ville;categorie;type;adresse_1;adresse_2;code_postal;commune;canton;effectif_personnel;nb_visiteurs_max;geometrie
0;AGENCE BANQUE POPULAIRE AQUITAINE CENTRE ATLANTIQUE;0;5.0;W;39 , 40 place Gambetta;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;33;16;44.841708,-0.580841
0;RESTAURANT MCDONALD'S;0;5.0;N;10 rue de la Porte Dijeaux, rue Margaux;rue Guiraude;33000;BORDEAUX;;18;158;44.841038,-0.575
0;AGENCE BNP PARIBAS BORDEAUX RAVEZIES;0;5.0;W;170 cours du Médoc;;33000;BORDEAUX;03 Chartrons Grand parc;3;8;44.847382,-0.575319
0;11EME UNIVERSITE ETE COMMUNICATION DVT DURABLE 22 ET 23 AOUT 2013;0;1.0;T;QUAI DES CHARTRONS;;33300;BORDEAUX;;110;5619;44.856355,-0.568436
0;AGENCE BOUYGUES TELECOM;0;5.0;M;137 RUE SAINTE CATHERINE;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;2;13;44.836524,-0.573687
0;13ÈME TOURNOI OPEN ENTREPRISES DES JSA DU 28 JUIN 2013;0;4.0;X;RUE MAITRE JEAN;;33000;BORDEAUX;;0;180;44.828496,-0.612598
0;AGENCE CAISSE D'EPARGNE ACHARD;0;5.0;W;181 RUE ACHARD;;33000;BORDEAUX;;6;8;44.849684,-0.591862
0;14ÈME FORUM ENTREPRISES DU 7 NOVEMBRE 2012;0;1.0;T;Quai des Chartrons;;33300;BORDEAUX;;0;0;44.856355,-0.568436
0;AGENCE COMMERCIALE DE LA BANQUE POPULAIRE;0;5.0;W;66 BOULEVARD GEORGE V;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;6;9;44.825534,-0.589341
0;15ÈME CONGRES INTERNATIONAL DE FEUX D'ARTIFICES (ISF);0;;;;;33000;BORDEAUX;;0;0;44.862132,-0.587876
